Id,Name,RecordType.DeveloperName
0fJbZ0000000BwLUAU,In-depth,PHOCSInspectionType
0fJbZ0000000BwMUAU,In-depth Follow-up,PHOCSInspectionType
0fJbZ0000000BwNUAU,Pre-licensing,PHOCSInspectionType
0fJbZ0000000BwOUAU,Pre-licensing Follow-up,PHOCSInspectionType
0fJbZ0000000BwPUAU,Inspection Update,PHOCSInspectionType
0fJbZ0000000BwSUAU,Routine,PHOCSInspectionType
0fJbZ0000000BwTUAU,Routine Follow-up,PHOCSInspectionType
0fJbZ0000000BwUUAU,Complaint,PHOCSInspectionType
0fJbZ0000000BwVUAU,Complaint Follow-up,PHOCSInspectionType
