Id,Name,Subject,Description,EffectiveFrom,RegulatoryAuthorityId,RegulatoryAuthority.Name,RecordType.DeveloperName,CreatedBy.Name,$$Name$RegulatoryAuthority.Name
0fCbZ0000000GSzUAM,Raw Shellfish Guidelines,Guide for Restaurant Operators Serving Raw Oysters and Bivalve Shellfish,Guide for Restaurant Operators Serving Raw Oysters and Bivalve Shellfish,2026-04-06T00:00:00.000+0000,19pbZ0000001GviQAE,BCCDC,PHOCSRegulatoryCode,Chandrahas Bireddy,Raw Shellfish Guidelines;BCCDC
0fCbZ0000000GT0UAM,Raw Oysters Guidelines,Guide for Restaurant Operators Serving Raw Oysters and Bivalve Shellfish,Guide for Restaurant Operators Serving Raw Oysters and Bivalve Shellfish,2026-04-06T00:00:00.000+0000,19pbZ0000001GviQAE,BCCDC,PHOCSRegulatoryCode,Chandrahas Bireddy,Raw Oysters Guidelines;BCCDC
0fCbZ0000000GT1UAM,Potable Water Storage Tanks and Water Supply,Mobile Food Premises Guideline,Mobile Food Premises Guideline,2026-04-06T00:00:00.000+0000,19pbZ0000001GviQAE,BCCDC,PHOCSRegulatoryCode,Chandrahas Bireddy,Potable Water Storage Tanks and Water Supply;BCCDC
0fCbZ0000000GT2UAM,Physical Requirements,Mobile Food Premises Guideline,Mobile Food Premises Guideline,2026-04-06T00:00:00.000+0000,19pbZ0000001GviQAE,BCCDC,PHOCSRegulatoryCode,Chandrahas Bireddy,Physical Requirements;BCCDC
0fCbZ0000000GT3UAM,Operational Requirements,Mobile Food Premises Guideline,Mobile Food Premises Guideline,2026-04-06T00:00:00.000+0000,19pbZ0000001GviQAE,BCCDC,PHOCSRegulatoryCode,Chandrahas Bireddy,Operational Requirements;BCCDC
0fCbZ0000000GT4UAM,Garbage,Mobile Food Premises Guideline,Mobile Food Premises Guideline,2026-04-06T00:00:00.000+0000,19pbZ0000001GviQAE,BCCDC,PHOCSRegulatoryCode,Chandrahas Bireddy,Garbage;BCCDC
0fCbZ0000000GT5UAM,Food Preparation and Protection,Mobile Food Premises Guideline,Mobile Food Premises Guideline,2026-04-06T00:00:00.000+0000,19pbZ0000001GviQAE,BCCDC,PHOCSRegulatoryCode,Chandrahas Bireddy,Food Preparation and Protection;BCCDC
0fCbZ0000000GPlUAM,PSE Guidelines,Guidelines for Personal Service Establishments,Guidelines for Personal Service Establishments,2026-02-04T20:00:00.000+0000,19pbZ0000001HJlQAM,Health Protection Branch Ministry of Health,PHOCSRegulatoryCode,Vishwantha Gandloju,PSE Guidelines;Health Protection Branch Ministry of Health
0fCbZ0000000GPmUAM,Section 3,Water supply required,Water supply required,2026-02-04T20:00:00.000+0000,19pbZ0000001HJmQAM,Regulated Activities Regulation,PHOCSRegulatoryCode,Vishwantha Gandloju,Section 3;Regulated Activities Regulation
0fCbZ0000000GPnUAM,3.2,Sign must be posted,Sign must be posted,2026-02-04T20:00:00.000+0000,19pbZ0000001HJmQAM,Regulated Activities Regulation,PHOCSRegulatoryCode,Vishwantha Gandloju,3.2;Regulated Activities Regulation
0fCbZ0000000GPoUAM,3.1,Minors prohibited from using tanning facilities,Minors prohibited from using tanning facilities,2026-02-04T20:00:00.000+0000,19pbZ0000001HJmQAM,Regulated Activities Regulation,PHOCSRegulatoryCode,Vishwantha Gandloju,3.1;Regulated Activities Regulation
0fCbZ0000000GTjUAM,Section 19(2)e,Licenses and permits,Licenses and permits,2026-04-06T00:00:00.000+0000,19pbZ0000001HbWQAU,Public Health Act,PHOCSRegulatoryCode,Chandrahas Bireddy,Section 19(2)e;Public Health Act
0fCbZ0000000GTkUAM,Chapter 4,Meat Hygiene Manual of Procedures,Meat Hygiene Manual of Procedures,2026-04-06T00:00:00.000+0000,19pbZ0000001HbXQAU,Canadian Food Inspection Agency,PHOCSRegulatoryCode,Chandrahas Bireddy,Chapter 4;Canadian Food Inspection Agency
