Id,Name,RecordType.DeveloperName,CreatedBy.Name,$$Name$RecordType.DeveloperName
0fJbZ0000000BwLUAU,In-depth,PHOCSInspectionType,Vishwantha Gandloju,In-depth;PHOCSInspectionType
0fJbZ0000000BwMUAU,In-depth Follow-up,PHOCSInspectionType,Vishwantha Gandloju,In-depth Follow-up;PHOCSInspectionType
0fJbZ0000000BwNUAU,Pre-licensing,PHOCSInspectionType,Vishwantha Gandloju,Pre-licensing;PHOCSInspectionType
0fJbZ0000000BwOUAU,Pre-licensing Follow-up,PHOCSInspectionType,Vishwantha Gandloju,Pre-licensing Follow-up;PHOCSInspectionType
0fJbZ0000000BwPUAU,Inspection Update,PHOCSInspectionType,Vishwantha Gandloju,Inspection Update;PHOCSInspectionType
0fJbZ0000000BwQUAU,Initial,PHOCSInspectionType,Vishwantha Gandloju,Initial;PHOCSInspectionType
0fJbZ0000000BwRUAU,Initial Follow-up,PHOCSInspectionType,Vishwantha Gandloju,Initial Follow-up;PHOCSInspectionType
0fJbZ0000000BwSUAU,Routine,PHOCSInspectionType,Vishwantha Gandloju,Routine;PHOCSInspectionType
0fJbZ0000000BwTUAU,Routine Follow-up,PHOCSInspectionType,Vishwantha Gandloju,Routine Follow-up;PHOCSInspectionType
0fJbZ0000000BwUUAU,Complaint,PHOCSInspectionType,Vishwantha Gandloju,Complaint;PHOCSInspectionType
0fJbZ0000000BwVUAU,Complaint Follow-up,PHOCSInspectionType,Vishwantha Gandloju,Complaint Follow-up;PHOCSInspectionType
0fJbZ0000000BwWUAU,Other,PHOCSInspectionType,Vishwantha Gandloju,Other;PHOCSInspectionType
0fJbZ0000000C61UAE,Request,PHOCSInspectionType,Chandrahas Bireddy,Request;PHOCSInspectionType
0fJbZ0000000C7dUAE,Request Follow-up,PHOCSInspectionType,Chandrahas Bireddy,Request Follow-up;PHOCSInspectionType
